w_context_dynamic_relation_scores,w_context_suppression_dynamic_relation_scores,wo_context_dynamic_relation_scores,wo_context_suppression_dynamic_relation_scores
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0022935778833925724,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0022935778833925724,0.0,0.011467888951301575,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0022935778833925724,0.0,0.016055045649409294,0.0
0.0,0.0,0.013761467300355434,0.0
0.04357798025012016,0.0,0.2178899049758911,0.0
0.0022935778833925724,0.0,0.00917431153357029,0.0
0.0,0.0,0.0,0.0
0.029816512018442154,0.0,0.11009173840284348,0.0
0.004587155766785145,0.0,0.016055045649409294,0.0
0.0022935778833925724,0.0,0.029816512018442154,0.0
0.0,0.0,0.0,0.0
0.020642200484871864,0.0,0.10779815912246704,0.0
0.0022935778833925724,0.0,0.011467888951301575,0.0
0.006880733650177717,0.0,0.05504586920142174,0.0
0.025229357182979584,0.0,0.0458715558052063,0.0
0.01834862306714058,0.0,0.04128440096974373,0.0
0.025229357182979584,0.0,0.07339449226856232,0.0
0.0,0.0,0.004587155766785145,0.0
0.11467889696359634,0.0,0.16055044531822205,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.013761467300355434
0.0,0.0,0.0,0.0
0.05504586920142174,0.0,0.14220182597637177,0.0
0.0,0.0,0.0,0.006880733650177717
0.0,0.0,0.0,0.0
0.004587155766785145,0.0,0.020642200484871864,0.0
0.0022935778833925724,0.0,0.016055045649409294,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0022935778833925724,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.1055045798420906,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.013761467300355434,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.013761467300355434,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.03669724613428116,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.00917431153357029,0.0,0.034403666853904724,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.13302752375602722
0.0,0.0,0.006880733650177717,0.0
0.0917431116104126,0.0,0.19495412707328796,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0022935778833925724
0.0,0.0,0.0,0.0
0.0022935778833925724,0.0,0.011467888951301575,0.0
0.0,0.0,0.02293577790260315,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.006880733650177717,0.0,0.020642200484871864,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.006880733650177717,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.006880733650177717,0.0,0.17201833426952362,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.011467888951301575,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.006880733650177717
0.0,0.0,0.0022935778833925724,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0022935778833925724
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.01834862306714058,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0022935778833925724,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.004587155766785145
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.006880733650177717
0.0,0.0,0.0,0.0
0.0,0.0,0.004587155766785145,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.1513761430978775,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.06422018259763718
0.0022935778833925724,0.0,0.03211009129881859,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.006880733650177717,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0022935778833925724,0.0,0.06880733370780945
0.0,0.0,0.0,0.0022935778833925724
0.011467888951301575,0.0,0.05963302403688431,0.0
0.0022935778833925724,0.0,0.020642200484871864,0.0
0.0,0.0,0.011467888951301575,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.004587155766785145,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0022935778833925724,0.0,0.10779815912246704,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.013761467300355434,0.0
0.0,0.0,0.00917431153357029,0.0
0.0,0.0,0.0,0.0458715558052063
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0022935778833925724,0.0,0.006880733650177717
0.0022935778833925724,0.0,0.029816512018442154,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.004587155766785145
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0022935778833925724,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.00917431153357029
0.0,0.0,0.0,0.0022935778833925724
0.0,0.0,0.0,0.0022935778833925724
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.034403666853904724,0.0,0.1582568734884262,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0022935778833925724,0.0,0.12385320663452148,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0022935778833925724,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0022935778833925724
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0022935778833925724
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.00917431153357029
0.0,0.0,0.0,0.004587155766785145
0.0,0.0,0.004587155766785145,0.0
0.0,0.0,0.0,0.0
0.0022935778833925724,0.0,0.07339449226856232,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.004587155766785145
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.004587155766785145,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0022935778833925724
0.0,0.0,0.0,0.004587155766785145
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.00917431153357029,0.0,0.07339449226856232,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.006880733650177717,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
